"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Alaska","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","3","34,819","7,987","454"
"Alaska","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","21","19,901","4,935","253"
"Alaska","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","16","1,904","527","26"
"Alaska","541511","Custom computer programming services","S-corporations","All establishments","2020","39","46,662","10,812","566"
"Alaska","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","24","2,976","476","41"
"Alaska","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","5","3,328","696","33"
"Alaska","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","3","3,283","832","49"
"Alaska","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","5","13,828","3,471","133"
"Alaska","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","7","2,281","341","15"
"Alaska","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","6","2,057","276","9"
"Alaska","541511","Custom computer programming services","Partnerships","All establishments","2020","5","763","193","18"
"Alaska","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","4","557","143","11"
"Arizona","541511","Custom computer programming services","All establishments","All establishments","2020","1,148","1,265,483","327,576","14,545"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","874","86,646","16,210","1,098"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","87","52,043","11,181","594"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","81","88,648","20,784","1,085"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","57","191,859","48,052","1,798"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","24","158,036","40,628","1,537"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","17","227,370","60,737","2,530"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2020","4","137,974","36,807","1,620"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 500 to 999 employees","2020","3","163,427","40,343","2,118"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","255","769,932","206,098","8,725"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","153","23,178","4,329","228"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","19","12,911","3,001","120"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","29","36,770","8,596","377"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","25","109,754","28,515","823"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","16","109,302","28,553","1,019"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","7","81,834","20,705","995"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2020","3","163,427","40,343","2,118"
"Arizona","541511","Custom computer programming services","S-corporations","All establishments","2020","724","385,325","94,435","4,516"
"Arizona","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","606","51,309","9,666","720"
"Arizona","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","40","24,513","5,000","283"
"Arizona","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","36","33,885","8,000","489"
"Arizona","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","27","68,153","15,817","809"
"Arizona","541511","Custom computer programming services","S-corporations","Establishments with 50 to 99 employees","2020","6","34,248","8,249","382"
"Arizona","541511","Custom computer programming services","S-corporations","Establishments with 100 to 249 employees","2020","7","108,519","30,118","1,093"
"Arizona","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","46","17,503","3,822","237"
"Arizona","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","42","4,281","560","55"
"Arizona","541511","Custom computer programming services","Partnerships","All establishments","2020","119","92,104","23,100","1,054"
"Arizona","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","70","7,589","1,591","89"
"Arizona","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","25","13,552","3,088","169"
"Arizona","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2020","16","17,993","4,188","219"
"Arizona","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2020","4","10,578","2,775","123"
"Arizona","541511","Custom computer programming services","Non-profit","All establishments","2020","3","607","121","13"
"Arkansas","541511","Custom computer programming services","All establishments","All establishments","2020","245","256,695","66,727","3,406"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","169","16,972","3,288","237"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","38","20,818","5,115","240"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","15","17,712","3,186","197"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","8","15,875","3,652","235"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","7","35,198","9,349","530"
"Arkansas","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","6","76,712","20,585","1,006"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","65","164,816","42,490","2,029"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","37","5,572","1,092","64"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","12","11,515","2,962","89"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","4","8,410","878","52"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","5","10,886","2,538","151"
"Arkansas","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","4","48,570","12,258","646"
"Arkansas","541511","Custom computer programming services","S-corporations","All establishments","2020","157","62,774","15,821","966"
"Arkansas","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","119","9,499","1,862","154"
"Arkansas","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","21","7,093","1,645","121"
"Arkansas","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","8","6,827","1,679","102"
"Arkansas","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","3","4,989","1,114","84"
"Arkansas","541511","Custom computer programming services","S-corporations","Establishments with 50 to 99 employees","2020","5","22,385","5,483","359"
"Arkansas","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","10","1,032","169","16"
"Arkansas","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","8","575","63","6"
"Arkansas","541511","Custom computer programming services","Partnerships","All establishments","2020","13","28,073","8,247","395"
"Arkansas","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","5","1,326","271","13"
"Arkansas","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","3","1,753","402","20"
"Arkansas","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2020","3","2,475","629","43"
"California","541511","Custom computer programming services","All establishments","All establishments","2020","11,139","27,369,912","6,480,963","177,679"
"California","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","7,953","1,154,650","200,865","10,951"
"California","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","1,218","826,681","194,297","8,179"
"California","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","807","1,193,626","288,340","11,113"
"California","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","584","2,171,234","542,238","18,122"
"California","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","300","2,851,595","815,124","20,305"
"California","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","191","4,230,958","1,064,561","29,872"
"California","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2020","51","2,683,283","669,995","16,621"
"California","541511","Custom computer programming services","All establishments","Establishments with 500 to 999 employees","2020","21","4,328,801","788,619","14,443"
"California","541511","Custom computer programming services","All establishments","Establishments with 1,000 employees or more","2020","14","7,929,084","1,916,924","48,073"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","4,926","23,056,094","5,379,918","137,641"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","2,958","608,665","103,825","4,451"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","681","498,861","120,191","4,548"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","504","807,317","198,883","6,976"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","383","1,584,141","401,419","12,073"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","179","1,697,861","440,083","12,211"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","151","3,543,866","907,021","23,870"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2020","37","2,169,593","533,442","12,090"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2020","19","4,216,706","758,130","13,349"
"California","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 1,000 employees or more","2020","14","7,929,084","1,916,924","48,073"
"California","541511","Custom computer programming services","S-corporations","All establishments","2020","5,107","2,419,135","547,956","25,861"
"California","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","4,237","432,149","80,240","5,427"
"California","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","408","256,930","57,422","2,766"
"California","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","231","283,417","65,116","3,150"
"California","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","153","463,275","109,197","4,606"
"California","541511","Custom computer programming services","S-corporations","Establishments with 50 to 99 employees","2020","44","298,014","77,294","3,101"
"California","541511","Custom computer programming services","S-corporations","Establishments with 100 to 249 employees","2020","25","424,678","92,586","3,806"
"California","541511","Custom computer programming services","S-corporations","Establishments with 250 to 499 employees","2020","8","205,140","48,781","2,515"
"California","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","362","291,807","68,355","2,308"
"California","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","300","50,212","4,655","381"
"California","541511","Custom computer programming services","Individual proprietorships","Establishments with 5 to 9 employees","2020","28","10,647","2,710","171"
"California","541511","Custom computer programming services","Individual proprietorships","Establishments with 10 to 19 employees","2020","18","24,276","6,057","259"
"California","541511","Custom computer programming services","Individual proprietorships","Establishments with 20 to 49 employees","2020","9","21,533","5,196","279"
"California","541511","Custom computer programming services","Individual proprietorships","Establishments with 100 to 249 employees","2020","3","41,705","10,412","382"
"California","541511","Custom computer programming services","Partnerships","All establishments","2020","656","846,250","216,958","7,831"
"California","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","436","60,817","11,491","655"
"California","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","96","58,836","13,610","656"
"California","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2020","51","74,107","17,266","682"
"California","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2020","38","97,545","25,354","1,132"
"California","541511","Custom computer programming services","Partnerships","Establishments with 50 to 99 employees","2020","20","159,937","44,037","1,396"
"California","541511","Custom computer programming services","Partnerships","Establishments with 100 to 249 employees","2020","11","180,487","43,492","1,629"
"California","541511","Custom computer programming services","Partnerships","Establishments with 250 to 499 employees","2020","3","157,958","48,539","1,077"
"California","541511","Custom computer programming services","Non-profit","All establishments","2020","30","83,830","20,841","603"
"California","541511","Custom computer programming services","Non-profit","Establishments with less than 5 employees","2020","19","2,693","620","35"
"California","541511","Custom computer programming services","Non-profit","Establishments with 5 to 9 employees","2020","5","1,407","364","38"
"California","541511","Custom computer programming services","Non-profit","Establishments with 10 to 19 employees","2020","3","4,509","1,018","46"
"California","541511","Custom computer programming services","Other noncorporate legal forms of organization","All establishments","2020","58","672,796","246,935","3,435"
"California","541511","Custom computer programming services","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2020","3","114","34","2"
"California","541511","Custom computer programming services","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2020","55","672,682","246,901","3,433"
"Colorado","541511","Custom computer programming services","All establishments","All establishments","2020","2,144","2,326,310","559,657","21,098"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","1,635","160,656","32,743","2,113"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","221","147,785","34,118","1,472"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","107","147,850","34,505","1,526"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","89","308,837","74,848","2,756"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","47","334,462","87,330","3,092"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","34","692,074","152,922","4,914"
"Colorado","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2020","9","420,108","111,394","3,777"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","486","1,411,319","339,103","11,045"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","264","43,081","8,459","421"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","79","66,950","15,103","534"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","49","76,483","19,109","706"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","39","147,687","37,660","1,225"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","27","214,425","55,358","1,767"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","21","513,833","108,210","3,005"
"Colorado","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2020","6","270,180","73,148","2,520"
"Colorado","541511","Custom computer programming services","S-corporations","All establishments","2020","1,414","436,846","103,717","5,233"
"Colorado","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","1,221","101,527","21,123","1,495"
"Colorado","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","107","61,082","14,376","713"
"Colorado","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","38","47,752","10,499","542"
"Colorado","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","33","103,832","24,813","1,007"
"Colorado","541511","Custom computer programming services","S-corporations","Establishments with 50 to 99 employees","2020","9","50,558","14,944","587"
"Colorado","541511","Custom computer programming services","S-corporations","Establishments with 100 to 249 employees","2020","6","72,095","17,962","889"
"Colorado","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","59","22,475","4,515","245"
"Colorado","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","45","3,396","602","48"
"Colorado","541511","Custom computer programming services","Individual proprietorships","Establishments with 5 to 9 employees","2020","9","4,336","1,128","61"
"Colorado","541511","Custom computer programming services","Individual proprietorships","Establishments with 20 to 49 employees","2020","4","13,844","2,564","126"
"Colorado","541511","Custom computer programming services","Partnerships","All establishments","2020","178","382,727","95,357","3,992"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","103","12,501","2,509","145"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","26","15,417","3,511","164"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2020","17","20,318","3,962","239"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2020","12","40,244","8,950","360"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with 50 to 99 employees","2020","11","69,479","17,028","738"
"Colorado","541511","Custom computer programming services","Partnerships","Establishments with 100 to 249 employees","2020","6","96,603","24,474","893"
"Colorado","541511","Custom computer programming services","Non-profit","All establishments","2020","7","72,943","16,965","583"
"Connecticut","541511","Custom computer programming services","All establishments","All establishments","2020","516","1,092,521","275,353","13,035"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","326","47,250","9,959","472"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","72","44,527","10,323","515"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","41","65,152","16,217","535"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","37","110,711","26,519","1,139"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","25","171,858","46,547","1,803"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","7","126,591","28,179","1,234"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2020","3","65,374","16,352","907"
"Connecticut","541511","Custom computer programming services","All establishments","Establishments with 500 to 999 employees","2020","3","175,948","43,592","1,899"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","192","767,065","201,199","9,554"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","110","20,931","4,623","169"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","23","15,499","3,637","153"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","26","44,106","11,413","336"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","10","33,468","7,866","306"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","13","94,847","27,336","933"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2020","3","65,374","16,352","907"
"Connecticut","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2020","3","175,948","43,592","1,899"
"Connecticut","541511","Custom computer programming services","S-corporations","All establishments","2020","225","224,058","50,827","2,417"
"Connecticut","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","155","18,189","3,764","200"
"Connecticut","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","30","20,915","4,880","225"
"Connecticut","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","11","16,785","3,827","148"
"Connecticut","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","18","51,196","11,865","569"
"Connecticut","541511","Custom computer programming services","S-corporations","Establishments with 50 to 99 employees","2020","7","46,256","11,075","515"
"Connecticut","541511","Custom computer programming services","S-corporations","Establishments with 100 to 249 employees","2020","4","70,717","15,416","760"
"Connecticut","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","37","29,743","5,273","260"
"Connecticut","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","30","3,280","698","55"
"Connecticut","541511","Custom computer programming services","Individual proprietorships","Establishments with 5 to 9 employees","2020","4","951","221","28"
"Connecticut","541511","Custom computer programming services","Partnerships","All establishments","2020","62","71,655","18,054","804"
"Connecticut","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","31","4,850","874","48"
"Connecticut","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","15","7,162","1,585","109"
"Connecticut","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2020","9","26,047","6,788","264"
"Connecticut","541511","Custom computer programming services","Partnerships","Establishments with 50 to 99 employees","2020","5","30,755","8,136","355"
"Delaware","541511","Custom computer programming services","All establishments","All establishments","2020","489","424,477","100,398","4,214"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2020","367","46,027","8,192","458"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2020","50","31,105","7,679","328"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2020","24","28,351","6,222","286"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2020","30","104,439","25,151","914"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2020","9","64,344","16,188","632"
"Delaware","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2020","8","114,181","27,238","1,134"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2020","247","231,993","58,472","2,294"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","174","25,515","4,162","207"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","33","22,554","5,578","219"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","16","18,761","4,280","188"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","13","41,010","11,289","340"
"Delaware","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","8","56,091","14,324","582"
"Delaware","541511","Custom computer programming services","S-corporations","All establishments","2020","193","160,310","34,797","1,570"
"Delaware","541511","Custom computer programming services","S-corporations","Establishments with less than 5 employees","2020","153","15,415","2,921","198"
"Delaware","541511","Custom computer programming services","S-corporations","Establishments with 5 to 9 employees","2020","13","6,870","1,695","85"
"Delaware","541511","Custom computer programming services","S-corporations","Establishments with 10 to 19 employees","2020","8","9,590","1,942","98"
"Delaware","541511","Custom computer programming services","S-corporations","Establishments with 20 to 49 employees","2020","13","50,281","11,144","463"
"Delaware","541511","Custom computer programming services","S-corporations","Establishments with 100 to 249 employees","2020","5","69,901","15,231","676"
"Delaware","541511","Custom computer programming services","Individual proprietorships","All establishments","2020","13","6,234","1,149","43"
"Delaware","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2020","12","1,010","172","12"
"Delaware","541511","Custom computer programming services","Partnerships","All establishments","2020","36","25,940","5,980","307"
"Delaware","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2020","28","4,087","937","41"
"Delaware","541511","Custom computer programming services","Partnerships","Establishments with 5 to 9 employees","2020","4","1,681","406","24"
"Delaware","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2020","3","7,924","1,741","80"
